"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"2322369","c2f245fcd1f8a9f13290c045efa26d73f6de59e838feda46ae65db1311320a31394bfe80a41aadd4942ee17e3d39c40d41f9932e2e231586d7c148c9ae22389c","2026-06-07T21:10:00.000","1","DRIVER",,"2214989",,"LINCOLN","TOWNCAR","IL","2007","NONE","PASSENGER","PERSONAL","E","ENTER FROM DRIVE/ALLEY","Y",,"1",,"kustom towing","unk",,"Y","Y","Y","Y","N",,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2322370","c2f245fcd1f8a9f13290c045efa26d73f6de59e838feda46ae65db1311320a31394bfe80a41aadd4942ee17e3d39c40d41f9932e2e231586d7c148c9ae22389c","2026-06-07T21:10:00.000","2","DRIVER",,"2214982",,"HONDA","CIVIC","IL","2016","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,"Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321730","aedf55d87aa95af93cb5482efba68b9f2137b5af74fc1a5dc41a321330383183d1c3719c8af69b517da89ce938895b393dd150e583dafccb63f5d4a3d833ae94","2026-06-07T21:07:00.000","1","DRIVER",,"2214365",,"MERCEDES-BENZ","C-CLASS","IL","2023","NONE","PASSENGER","PERSONAL","SE","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321731","aedf55d87aa95af93cb5482efba68b9f2137b5af74fc1a5dc41a321330383183d1c3719c8af69b517da89ce938895b393dd150e583dafccb63f5d4a3d833ae94","2026-06-07T21:07:00.000","2","DRIVER",,"2214369",,"HYUNDAI","ELANTRA","IL","2012","NONE","PASSENGER","PERSONAL","SE","SLOW/STOP IN TRAFFIC",,,"1",,,,,"Y",,,,"Y","Y","Y",,,,"Y","Y",,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321732","aedf55d87aa95af93cb5482efba68b9f2137b5af74fc1a5dc41a321330383183d1c3719c8af69b517da89ce938895b393dd150e583dafccb63f5d4a3d833ae94","2026-06-07T21:07:00.000","3","DRIVER",,"2214371",,"SUBARU","CROSSTREK","OH","2023","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","SE","SLOW/STOP IN TRAFFIC",,,"1",,,,,,,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321702","63748b343c7ebbfd67d1fe579ae37357a1bed37e02077db6c961b30fb954913dbcbe6c89b7eadbc163654a350aed3946778f0ee070914173476aeca0cae4985e","2026-06-07T21:02:00.000","1","DRIVER",,"2214349",,"CHEVROLET","IMPALA","IL","2015","STEERING","PASSENGER","PERSONAL","W","STRAIGHT AHEAD","Y",,"1",,"FAMILY PRIVATE TOW","5128 TOMCIN TRL OAK LAWN IL",,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321703","63748b343c7ebbfd67d1fe579ae37357a1bed37e02077db6c961b30fb954913dbcbe6c89b7eadbc163654a350aed3946778f0ee070914173476aeca0cae4985e","2026-06-07T21:02:00.000","2","PARKED",,"2214353",,"ACURA","ADX","IL","2020","NONE","PASSENGER","PERSONAL","W","PARKED",,,"0",,,,,,,,,"Y","Y","Y",,,,,,,"REAR-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321735","96671206474e0fa0114426c6e87ee2cdd8445ad09caaea383a79ce3b38e25d34fbb6941112439b0940133008c6678bcc461adb6b47a201f370b97fda2a387778","2026-06-07T21:00:00.000","2","DRIVER",,"2214381",,"BUICK","LESABRE","IL","2016","UNKNOWN","PASSENGER","UNKNOWN/NA","E","STRAIGHT AHEAD",,,"1",,,,,"N",,,,,,,,,,"Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321736","96671206474e0fa0114426c6e87ee2cdd8445ad09caaea383a79ce3b38e25d34fbb6941112439b0940133008c6678bcc461adb6b47a201f370b97fda2a387778","2026-06-07T21:00:00.000","1","DRIVER","2","2214370",,"MITSUBISHI","ECLIPSE","IL","2020","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","E","OTHER",,,"3",,,,,"Y",,,,,,,,,,,,,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2321714","4403ea55676f87348979f15e81c3004cc29e04c1b0293dc7bd4dd4c6fadf5807d46c16aa2fe5374ddbea5bac5549a5a85ef51b9fc03b170b130dbdd436ad4065","2026-06-07T20:54:00.000","1","DRIVER",,"2214357",,"DODGE","DURANGO","IL","2014","UNKNOWN","SPORT UTILITY VEHICLE (SUV)","UNKNOWN/NA","S","STRAIGHT AHEAD","Y",,"1",,"UNKNOWN TOW",,,"Y","Y","Y","Y",,,,,,,,"Y",,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
