crash_record_id,weather_condition,lighting_condition,roadway_surface_cond,prim_contributory_cause,total_vehicles,avg_driver_age,total_people,total_injured
0004c80c57aae155a45179bd3c03c159fa156c3b27d39864766cf0c50432ad46d0da425bfdbae84b470e4acdea6270ba42e8287e6b0e519c20fe7b5cad9c6200,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,34.0,2.0,2.0
0004d9aea8737acfe95b9f2a1c81bcda499e82b60b98b724bb0db05e09f5baf1bd3e796c78865a2f53a94a53006d27de43235d59f10203922cfd5966162d4cbc,CLEAR,DAYLIGHT,SNOW OR SLUSH,IMPROPER OVERTAKING/PASSING,2.0,48.0,2.0,2.0
0004ff79ed5567a325214951a82586f42418ad578dcb016c34cf9c9237305884fedb9afe3b81e4122837c9dc7f657e3713f5ff5373671fded99da6c5afe39447,CLEAR,"DARKNESS, LIGHTED ROAD",DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,27.333333333333332,3.0,3.0
0005103b7aa8b159d97aea4463b28b867a22cea99ddedd73f9322014401b8311e763ce53471ca346a0e1b3fe4d4a31b78ca8442ad991412b1174fdb8d016c23c,CLEAR,DAYLIGHT,DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,26.0,2.0,2.0
00051b8cfa914e2d040da55126f6ac35f8311e1cc9c7114535835334baa639c93603a2deb76bda28a12503e877e1b3b27af25e2c09d47f17683805838e225e38,CLEAR,DAYLIGHT,DRY,DISREGARDING TRAFFIC SIGNALS,2.0,36.5,2.0,2.0
00054eec131a32fb672ffd51c9318547c716447c2fef5e2e804d46683d38e12f075bca7bf161b2c16ef5bd7228de80c69a54da3b73a64eb8d33f06c27ef4d548,RAIN,"DARKNESS, LIGHTED ROAD",WET,FAILING TO YIELD RIGHT-OF-WAY,1.0,40.0,2.0,2.0
00055688f63922f06532f348c091355244b5aa13bed1270f45d1898768c5ee9f3cdc12c5b2ce8ed75fe0f22bdad0c9f641d7082a20a77b3f4cbc83f127e46605,CLEAR,DAYLIGHT,DRY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2.0,37.5,2.0,2.0
00056473bdb667aa098bf36de50cc74b72a3260c7594e7e9fea25de16f25f3664ac5a544a9bacb9a0b23971510a77ccf25e5d57976309dd9fbd34f77a92fd740,CLEAR,DAYLIGHT,DRY,FAILING TO REDUCE SPEED TO AVOID CRASH,1.0,20.0,2.0,2.0
00057b4d4bb547795bc8ce2eb838e3ae0068639d381fba20ce9e75252cf4e269be39835b7dbc9146b10c78f5dc80acd6b02dae5fd79e749967ec0032b00ef70b,CLEAR,DAYLIGHT,DRY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1.0,32.0,2.0,2.0
000581ef656d91bc26f2e896e3b56e1fa67cc33ad1a2928bf1b7adbb56d1b2b63494d9d52d14e4fef49178076436658d96c3adb4c71aea1479713b69e1345956,CLEAR,DAYLIGHT,DRY,DISREGARDING TRAFFIC SIGNALS,2.0,26.0,4.0,4.0
0005837a921036529d835da9edd486be16c54c9c486d7bc3a267f1db2fbfa635727a0bd2ff2af878e2a672a6dfd83b08e7331145e2145e66060e2e51cb647535,FOG/SMOKE/HAZE,DAYLIGHT,WET,FOLLOWING TOO CLOSELY,2.0,27.0,3.0,3.0
00058594510a8d046904226d55f27d180184fc6ed2cab350c42d5a4c5b448ec97f9f6c24cd18dd2432d405ee069c1614e78f26009ac8d9113abdb27abf6f5933,CLEAR,DAYLIGHT,DRY,DISREGARDING OTHER TRAFFIC SIGNS,2.0,22.25,4.0,4.0
00059d7475302273c143f70696e18e2dcc5a7b0ed6bc81c927073c60d530975237af4a9de530fc59823065a9b10f4509946899f1029fbe94e5ddd2f3dee3f13a,SNOW,DAYLIGHT,SNOW OR SLUSH,IMPROPER OVERTAKING/PASSING,2.0,28.0,2.0,2.0
0005a7b841cef1f7f38b51a1bcc361c53873bcabc43401422214f186204d3f26a3311119be1ef109504a8dd3f52659e07e3d95535b059c466e837bec331ed2c0,SNOW,DAYLIGHT,SNOW OR SLUSH,FOLLOWING TOO CLOSELY,2.0,44.0,2.0,2.0
0005e8a3ba9d4bd6a56a9ba5d715a9067a4b0551fde6d3c62b3ab35bbd99ab36c276c10934ca17999260bd85cce1b2bc1e8f619b5fc241835ebd84c44bbeeb63,CLEAR,"DARKNESS, LIGHTED ROAD",UNKNOWN,FAILING TO YIELD RIGHT-OF-WAY,2.0,35.0,2.0,2.0
000601592f8e35b58648496b35f6948fd47381cb7c7d9e4b62936679c8640990b127a14586907b9d768c9c22774fa049ad9de009e24d7a7ea647b454c6ac94b7,CLEAR,DAYLIGHT,UNKNOWN,ROAD CONSTRUCTION/MAINTENANCE,1.0,33.0,1.0,1.0
0006350d09a3da062dd5cf8479a8dcd9d6b9bd5002b880132856996eb426092c3afa378ce19e04a7a3bb427477418f7619e93b30ffd8a9135339f69bcf8cfdbd,RAIN,"DARKNESS, LIGHTED ROAD",WET,IMPROPER LANE USAGE,3.0,34.0,2.0,2.0
000680b2779c9683acfc0162b6059d42cd911f38184ece81093edc8817586e56c19e6f0f7076bc1e2e4c2e55d8cc1d33f115242e1b5086ae89b85c6b511d65dc,CLEAR,DAYLIGHT,DRY,DISREGARDING TRAFFIC SIGNALS,2.0,24.0,2.0,2.0
0006882952e53c291df267014a03b57684383e9ad66d9e5723ff9cb22e76cbfbc7b6cd1ff0a3ceab28fc67638b47132e8d434cf510bc7bded7bfb98c95f569b5,CLEAR,DAYLIGHT,DRY,FOLLOWING TOO CLOSELY,2.0,28.5,2.0,2.0
000704692fa98ef82f8a4e2c7bec64f93e2d6cdeaa5565964bd5df75cb49bc07e320b67d6d9ed61e20eba9df382af05da0e4bf61a4da38a1138bdc7ba1f8c14e,CLEAR,DAYLIGHT,DRY,FOLLOWING TOO CLOSELY,2.0,56.0,2.0,2.0
0007178a2961771acae4022a6d0018cc2684415271553547134ca5823fe30abbb4fea349aeeb84a65758702d4f814dce5ece5fbabfe1ab155fd3043210d38f10,CLEAR,DAYLIGHT,DRY,FAILING TO YIELD RIGHT-OF-WAY,2.0,19.333333333333332,3.0,3.0
